ar,re,lx,ly,distance_from_training,is_training_ar,mae_x,mae_y,mae_mag,rmse_x,rmse_y,rmse_mag,error_growth_rate
1.6x1,200,1.6,1.0,0.7220634596563533,False,4.4051614e-08,2.5992597e-07,2.5152036e-07,6.3674364e-08,4.8541256e-07,4.6780943e-07,
1.6x1,2000,1.6,1.0,0.7220634596563533,False,1.0983229e-07,5.16871e-07,3.9072322e-07,2.778704e-07,9.858986e-07,7.709332e-07,
1.6x1,2100,1.6,1.0,0.7220634596563533,False,1.1984609e-07,5.4714013e-07,4.2100552e-07,2.8322094e-07,1.0288212e-06,8.132877e-07,
1.6x1,300,1.6,1.0,0.7220634596563533,False,2.9821248e-08,2.7190234e-07,2.532585e-07,4.8916565e-08,5.0904333e-07,4.827784e-07,
1.6x1,400,1.6,1.0,0.7220634596563533,False,3.1511494e-08,2.449611e-07,2.2568759e-07,5.636882e-08,4.9055143e-07,4.5302528e-07,
1.6x1,500,1.6,1.0,0.7220634596563533,False,4.1894896e-08,2.4748252e-07,2.2621862e-07,8.430469e-08,5.103729e-07,4.6640977e-07,
1.6x1,600,1.6,1.0,0.7220634596563533,False,4.7374346e-08,2.7261325e-07,2.4764594e-07,8.804696e-08,5.5474345e-07,5.0318846e-07,
1.6x1,700,1.6,1.0,0.7220634596563533,False,6.912306e-08,2.7269274e-07,2.327852e-07,1.4491565e-07,5.555119e-07,4.925599e-07,
1.6x1,800,1.6,1.0,0.7220634596563533,False,9.0706145e-08,2.951036e-07,2.5712646e-07,1.5090319e-07,5.901657e-07,5.140832e-07,
1.6x1,900,1.6,1.0,0.7220634596563533,False,1.2262316e-07,3.195145e-07,2.871039e-07,1.8609728e-07,6.4503183e-07,5.607311e-07,
1.7x1,100,1.7,1.0,0.7402185205244568,False,1.7236124e-08,2.472371e-07,2.4500244e-07,2.3855062e-08,4.8503904e-07,4.765538e-07,
1.7x1,1000,1.7,1.0,0.7402185205244568,False,6.1738945e-08,3.5107817e-07,2.940958e-07,1.409997e-07,6.845443e-07,5.9396905e-07,
1.7x1,1100,1.7,1.0,0.7402185205244568,False,9.068408e-08,3.6257805e-07,2.9791502e-07,1.8629733e-07,7.102491e-07,6.0628616e-07,
1.7x1,1200,1.7,1.0,0.7402185205244568,False,6.8453055e-08,4.358157e-07,3.5149597e-07,1.7099676e-07,7.763618e-07,6.585426e-07,
1.7x1,1300,1.7,1.0,0.7402185205244568,False,1.04694145e-07,4.2734973e-07,3.7304855e-07,1.8888241e-07,8.544389e-07,7.410004e-07,
1.7x1,1400,1.7,1.0,0.7402185205244568,False,7.933915e-08,4.5348807e-07,3.7036932e-07,1.8623248e-07,8.729078e-07,7.3385985e-07,
1.7x1,1500,1.7,1.0,0.7402185205244568,False,1.3729772e-07,4.670849e-07,3.8042197e-07,2.7389555e-07,9.033867e-07,7.491144e-07,
1.7x1,1600,1.7,1.0,0.7402185205244568,False,1.3462653e-07,4.816431e-07,3.8574734e-07,2.758204e-07,9.198818e-07,7.513136e-07,
1.7x1,1700,1.7,1.0,0.7402185205244568,False,1.0577673e-07,4.348974e-07,3.421229e-07,2.2919146e-07,8.2016186e-07,6.4987245e-07,
1.7x1,1800,1.7,1.0,0.7402185205244568,False,1.3062626e-07,4.359136e-07,3.5688026e-07,2.2619645e-07,8.226259e-07,6.762579e-07,
1.7x1,1900,1.7,1.0,0.7402185205244568,False,1.8018514e-07,5.021454e-07,3.9032983e-07,3.2181563e-07,9.5197765e-07,7.487942e-07,
1.7x1,200,1.7,1.0,0.7402185205244568,False,3.088713e-08,2.4335012e-07,2.409614e-07,4.3551257e-08,4.8342736e-07,4.6733942e-07,
