re,ar,lx,ly,distance_from_training,mae_mag,rmse_mag,mae_x,mae_y,rmse_x,rmse_y
1700,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.713070e-07,5.659754e-07,1.008389e-07,3.831312e-07,2.760018e-07,7.560773e-07
1700,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.994366e-07,5.888012e-07,1.664898e-07,4.331185e-07,3.600636e-07,7.802809e-07
1700,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,3.075950e-07,6.232483e-07,9.379793e-08,4.263441e-07,2.669746e-07,7.976822e-07
1700,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,3.055011e-07,6.159768e-07,1.078296e-07,4.146404e-07,2.728908e-07,7.922753e-07
1700,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,3.439776e-07,6.811084e-07,1.065277e-07,4.385906e-07,2.287177e-07,8.322199e-07
1700,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,3.421229e-07,6.498724e-07,1.057767e-07,4.348974e-07,2.291915e-07,8.201619e-07
1700,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,3.314561e-07,6.399208e-07,1.019481e-07,4.326796e-07,2.509584e-07,8.077611e-07
1700,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,3.601500e-07,6.785550e-07,8.486506e-08,4.598182e-07,1.974282e-07,8.384886e-07
1800,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.877458e-07,6.282776e-07,1.820084e-07,4.198104e-07,3.834715e-07,8.229476e-07
1800,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.801615e-07,6.041053e-07,1.968700e-07,4.005837e-07,3.964667e-07,7.948334e-07
1800,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,3.005620e-07,6.458365e-07,1.206551e-07,4.157820e-07,2.947347e-07,8.194650e-07
1800,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,3.157070e-07,6.403144e-07,1.742992e-07,4.302096e-07,3.682566e-07,8.365444e-07
1800,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,3.260410e-07,6.499628e-07,1.352773e-07,4.426569e-07,3.179279e-07,8.383797e-07
1800,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,3.380688e-07,6.598569e-07,1.360485e-07,4.598536e-07,2.920123e-07,8.433334e-07
1800,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,3.568803e-07,6.762579e-07,1.306263e-07,4.359136e-07,2.261964e-07,8.226259e-07
1800,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,3.607009e-07,7.033654e-07,9.438681e-08,4.727421e-07,2.372337e-07,8.687808e-07
1800,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,3.673398e-07,6.947099e-07,1.031881e-07,4.736100e-07,2.450614e-07,8.742635e-07
1900,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,3.084826e-07,6.552248e-07,2.397771e-07,4.402680e-07,4.528427e-07,8.802051e-07
1900,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,3.167704e-07,6.673774e-07,1.712198e-07,4.450246e-07,3.734870e-07,8.832386e-07
1900,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,3.332486e-07,6.671418e-07,1.662244e-07,4.631972e-07,3.713374e-07,8.974837e-07
1900,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,3.390568e-07,6.816846e-07,1.404626e-07,4.604953e-07,3.372966e-07,8.918059e-07
1900,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,3.606324e-07,7.218063e-07,1.247091e-07,4.898608e-07,3.233747e-07,9.215738e-07
1900,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,3.634891e-07,7.130431e-07,1.262154e-07,4.904181e-07,3.139194e-07,9.154114e-07
1900,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,3.903298e-07,7.487942e-07,1.801851e-07,5.021454e-07,3.218156e-07,9.519777e-07
1900,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,3.822666e-07,7.439273e-07,1.002357e-07,4.926385e-07,2.569026e-07,9.294907e-07
